,house_area,quality,year_built,year_remodel_add,garage_year_build,number_of_bathrooms,basement_area,has_Fireplaces_or_not,TotRmsAbvGrd,grade_living_area,garage_area,garage_capacite,SalePrice
360,7540,6,1978,1978,1978.0,1,888,1,5,912,470,2,156000
361,9144,5,1940,1982,1940.0,1,883,0,8,1505,240,1,145000
363,1680,6,1972,2007,1972.0,1,483,0,5,987,264,1,118000
364,18800,6,1976,1976,1976.0,2,796,1,6,1574,566,2,190000
365,10690,5,1920,1997,1964.0,1,672,0,6,1344,468,1,147000
366,9500,6,1963,1963,1963.0,1,1394,2,6,1394,514,2,159000
367,9150,6,1962,1962,1962.0,1,1099,1,6,1431,296,1,165000
368,7800,5,1954,1954,1954.0,1,1268,1,7,1268,244,1,132000
369,9830,5,1959,2006,1997.0,1,1063,1,7,1287,576,2,162000
370,8121,6,2000,2000,2000.0,2,953,1,7,1664,460,2,172400
372,7175,6,1984,1984,1984.0,1,744,0,4,752,264,1,125000
373,10634,5,1953,1953,1953.0,1,608,0,5,1319,270,1,123000
374,8200,7,2003,2004,2003.0,2,847,1,8,1928,434,2,219500
376,8846,5,1996,1996,1998.0,1,870,0,5,914,576,2,148000
377,11143,8,2004,2005,2004.0,3,1580,1,8,2466,610,2,340000
379,8123,6,2000,2000,2000.0,2,982,1,7,1800,463,2,179000
380,5000,5,1924,1950,1924.0,2,1026,1,6,1691,308,1,127000
381,7200,7,2006,2006,2006.0,2,1293,1,5,1301,572,2,187750
382,9245,7,2006,2006,2006.0,2,939,0,8,1797,639,2,213500
383,9000,6,1928,1950,1950.0,1,784,0,5,784,360,2,76000
384,53107,6,1992,1992,1992.0,2,1580,2,9,1953,501,2,240000
385,3182,8,2004,2005,2004.0,2,1256,1,6,1269,430,2,192000
386,8410,5,1910,1996,1978.5061638868744,1,658,0,8,1184,0,0,81000
387,7200,6,1976,1976,1977.0,1,1041,1,6,1125,352,1,125000
388,9382,7,1999,2000,1999.0,2,1468,0,6,1479,577,2,191000
389,12474,10,2007,2008,2008.0,2,1682,1,9,2332,846,3,426000
391,12209,6,2001,2002,2001.0,2,804,1,7,1961,560,2,215000
393,7446,4,1941,1950,1978.5061638868744,1,788,2,4,788,0,0,100000
394,10134,5,1940,1950,1940.0,1,735,0,5,1034,240,1,109000
395,9571,5,1956,1956,1956.0,1,1144,0,6,1144,596,1,129000
396,7200,5,1972,1972,1985.0,1,894,0,6,894,600,2,123000
397,7590,5,1962,1962,1962.0,2,864,1,8,1812,264,1,169500
398,8967,5,1920,1950,1920.0,1,961,0,6,1077,338,1,67000
399,8125,7,2006,2007,2007.0,2,1092,0,7,1550,438,2,241000
400,14963,8,1996,1996,1996.0,1,1260,2,4,1288,500,2,245500
401,8767,7,2005,2005,2005.0,2,1310,1,6,1310,400,2,164990
402,10200,5,1940,1997,1940.0,1,672,0,4,672,240,1,108000
403,12090,8,1998,1998,1998.0,2,1141,1,10,2263,420,2,258000
404,10364,6,1995,1996,1995.0,2,806,1,7,1572,373,2,168000
405,9991,4,1976,1993,1993.0,2,1281,1,8,1620,490,2,150000
406,10480,6,1936,1950,1936.0,1,1064,0,6,1639,240,1,115000
407,15576,6,1915,1976,1960.0,2,840,0,8,1680,308,1,177000
408,14154,7,2006,2006,2006.0,2,1063,1,9,2172,947,3,280000
409,10800,8,2007,2008,2008.0,2,1034,1,8,2078,836,3,339750
411,34650,5,1955,1955,1955.0,1,1056,0,5,1056,572,2,145000
412,4403,7,2009,2009,2009.0,2,1470,1,7,1478,484,2,222000
413,8960,5,1927,1950,1927.0,1,1008,1,5,1028,360,2,115000
414,11228,7,1993,1993,1993.0,2,1080,1,9,2097,678,3,228000
415,8899,7,2007,2007,2007.0,2,1340,0,6,1340,396,2,181134
416,7844,6,1978,1978,1978.0,1,672,1,6,1400,440,2,149500
417,22420,6,1918,1950,1918.0,2,1370,1,10,2624,864,3,239000
418,8160,5,1940,1950,1940.0,1,756,0,7,1134,240,1,126000
419,8450,5,1968,1968,1968.0,1,1056,1,6,1056,304,1,142000
420,7060,7,1997,1998,1997.0,2,1344,0,8,1344,784,4,206300
421,16635,6,1977,2000,1977.0,2,1602,1,8,1602,529,2,215000
422,21750,5,1954,1954,1954.0,1,988,0,4,988,520,2,113000
423,9200,8,1998,1998,1998.0,2,1470,1,8,2630,696,3,315000
424,9000,6,1956,1956,1956.0,1,1196,1,6,1196,297,1,139000
425,3378,7,1946,1992,1947.0,1,651,2,6,1389,240,1,135000
426,12800,7,1989,1989,1989.0,2,1518,1,5,1644,569,2,275000
427,8593,4,1957,1957,1964.0,1,907,0,5,907,352,1,109008
428,6762,7,2007,2007,2007.0,2,1208,0,6,1208,628,2,195400
429,11457,6,1988,1988,1988.0,2,1392,1,6,1412,576,2,175000
430,1680,6,1971,1971,1971.0,1,483,0,4,987,264,1,85400
431,5586,6,1920,1998,1978.5061638868744,1,901,0,7,1198,0,0,79900
432,1920,5,1971,1971,1971.0,1,765,0,6,1365,440,2,122500
433,10839,6,1997,1998,1997.0,2,926,1,7,1604,470,2,181000
434,1890,4,1972,1972,1978.5061638868744,1,630,0,3,630,0,0,81000
435,10667,7,1996,1996,1996.0,2,799,1,6,1661,550,2,212000
436,4400,6,1920,1950,1990.0,1,648,0,6,1118,440,2,116000
437,6000,6,1926,2004,1926.0,1,884,0,4,904,180,1,119000
438,4280,5,1913,2002,1990.0,1,440,1,4,694,352,1,90350
439,12354,6,1920,2000,2005.0,1,684,0,7,1196,528,2,110000
441,12108,4,1955,1955,1978.5061638868744,2,1440,0,8,1440,0,0,118000
442,6240,5,1930,1992,1930.0,2,1078,1,8,1573,360,2,162900
443,3922,7,2006,2007,2007.0,2,1258,1,6,1258,648,3,172500
444,8750,7,1994,1995,1994.0,2,915,1,8,1908,493,2,210000
445,9855,6,1956,1956,1956.0,1,1436,1,7,1689,480,2,127500
446,16492,6,1966,2002,1966.0,2,1517,1,6,1888,578,2,190000
447,11214,7,1998,1999,1998.0,2,930,1,10,1886,431,2,199900
448,8600,6,1937,1950,1937.0,2,780,1,7,1376,198,1,119500
449,6000,3,1948,2002,1981.0,1,649,0,6,1183,308,1,120000
450,5684,6,1930,2005,1932.0,1,813,0,5,813,270,1,110000
451,70761,7,1975,1975,1975.0,2,1533,2,5,1533,576,2,280000
452,9303,6,1996,1997,1996.0,2,872,0,7,1756,422,2,204000
453,9000,8,2008,2008,2008.0,2,768,0,6,1590,676,2,210000
454,9297,5,1976,1976,1976.0,2,1728,0,8,1728,560,2,188000
455,9600,7,1973,1973,1973.0,1,1242,1,6,1242,528,2,175500
456,4571,5,1916,1950,1916.0,1,624,0,7,1344,513,3,98000
457,53227,4,1954,1994,1954.0,1,1364,2,6,1663,529,2,256000
458,5100,8,1925,1996,1925.0,1,588,1,7,1666,228,1,161000
459,7015,5,1950,1950,1950.0,1,709,1,5,1203,352,1,110000
460,8004,8,2009,2009,2009.0,2,832,0,8,1935,552,2,263435
461,7200,7,1936,2007,1971.0,1,560,0,6,1135,576,2,155000
462,8281,5,1965,1965,1965.0,1,864,1,5,864,360,1,62383
463,11988,6,1934,1995,1939.0,1,715,1,6,1660,240,1,188700
464,8430,5,1978,1978,1978.5061638868744,2,1040,0,5,1040,0,0,124000
465,3072,7,2004,2004,2004.0,2,1375,1,6,1414,398,2,178740
466,10628,7,1970,1970,1970.0,1,1277,1,5,1277,526,2,167000
467,9480,5,1942,1995,1942.0,1,728,2,7,1644,312,1,146500
468,11428,8,2006,2006,2006.0,2,1626,1,7,1634,866,3,250000
469,9291,6,1993,1993,1993.0,2,832,0,7,1710,506,2,187000
470,6820,8,1985,1985,1985.0,1,1488,0,4,1502,528,2,212000
471,11952,7,1977,1977,1977.0,2,808,1,8,1969,534,2,190000
472,3675,6,2005,2005,2005.0,1,547,0,5,1072,525,2,148000
473,14977,8,2006,2007,2006.0,2,1976,1,7,1976,908,3,440000
474,5330,8,2000,2000,2000.0,2,1494,0,6,1652,499,2,251000
475,8480,5,1963,1963,1996.0,1,970,0,5,970,624,2,132500
476,13125,6,1997,1998,1997.0,2,1478,1,7,1493,508,2,208900
478,10637,8,2007,2008,2007.0,2,1705,1,7,1718,826,3,297000
479,5925,4,1937,2000,1995.0,1,907,0,7,1131,672,2,89471
480,16033,9,2004,2005,2004.0,2,1833,1,8,1850,772,3,326000
481,11846,9,2003,2004,2003.0,2,1792,1,6,1792,874,3,374000
482,2500,7,1915,2005,1915.0,1,910,1,7,1826,164,1,155000
483,4500,6,1998,1998,1998.0,2,1216,0,5,1216,402,2,164000
484,7758,5,1962,2001,1963.0,1,999,0,6,999,264,1,132500
485,9600,5,1950,2007,1950.0,1,1113,1,5,1113,264,1,147000
486,10289,5,1965,1965,1965.0,1,1073,0,6,1073,515,2,156000
487,12243,5,1971,1971,1971.0,2,1484,1,7,1484,487,2,175000
489,1526,4,1970,2002,1970.0,1,630,0,3,630,286,1,86000
490,2665,5,1976,1976,1976.0,1,264,1,4,1304,336,1,115000
491,9490,6,1941,1950,1941.0,1,806,2,5,1578,240,1,133000
492,15578,6,2006,2006,2006.0,2,728,0,8,1456,429,2,172785
493,7931,5,1960,1960,1964.0,1,1269,1,6,1269,308,1,155000
497,9120,7,1925,1950,1925.0,2,1026,0,8,1820,240,1,184000
498,7800,5,1967,2004,1967.0,1,864,0,5,899,288,1,130000
499,7535,5,1958,1985,1958.0,1,912,0,5,912,297,1,120000
500,1890,6,1973,1973,1973.0,1,672,0,7,1218,264,1,113000
501,9803,7,2005,2005,2005.0,2,866,0,7,1768,603,2,226700
502,9170,5,1965,1965,1965.0,1,1214,0,6,1214,461,2,140000
503,15602,7,1959,1997,1959.0,2,1501,2,6,1801,484,2,289000
504,2308,6,1974,1974,1974.0,2,855,1,6,1322,440,2,147000
505,7596,5,1952,1952,1952.0,2,960,0,10,1960,400,2,124500
506,9554,8,1993,1994,1993.0,2,777,1,8,1911,471,2,215000
507,7862,6,2009,2009,2009.0,2,1218,0,4,1218,676,2,208300
508,9600,7,1928,2005,1928.0,2,689,1,7,1378,360,2,161000
509,9600,5,1959,1959,1959.0,1,1041,0,6,1041,270,1,124500
510,14559,5,1951,2000,1951.0,1,1008,2,6,1363,288,1,164900
511,6792,7,2005,2006,2005.0,2,1368,1,6,1368,474,2,202665
512,9100,5,1958,1958,1964.0,1,864,0,5,864,624,2,129900
513,9187,6,1983,1983,1983.0,1,1084,0,5,1080,484,2,134000
514,10594,5,1926,1950,1926.0,1,768,0,5,789,200,1,96500
515,12220,10,2009,2009,2009.0,2,2006,1,9,2020,900,3,402861
516,10448,6,1972,1972,1972.0,2,689,1,7,2119,583,2,158000
517,10208,7,1996,1997,1996.0,2,1264,1,7,2344,889,3,265000
518,9531,6,1998,1998,1998.0,2,794,0,7,1796,546,2,211000
519,10918,7,1926,2004,1926.0,1,1276,2,9,2080,282,1,234000
521,11988,6,1957,1957,1957.0,1,1244,2,6,1244,336,1,150000
522,5000,6,1947,1950,1950.0,2,1004,2,7,1664,420,2,159000
524,11787,7,1996,1997,1996.0,2,1379,1,8,2398,834,3,315750
525,7500,7,2005,2005,2005.0,2,1257,1,6,1266,453,2,176000
526,13300,5,1956,2000,1956.0,1,928,0,4,928,252,1,132000
529,32668,6,1957,1975,1975.0,3,2035,2,9,2515,484,2,200624
530,10200,6,1988,1989,1988.0,2,1461,1,5,1509,600,2,175000
531,6155,6,1920,1999,1920.0,2,611,0,6,1362,502,2,128000
534,9056,8,2004,2004,2004.0,2,707,1,6,1414,403,2,178000
535,7000,5,1910,1991,1978.5061638868744,1,1117,0,5,1347,0,0,107500
536,8924,7,1998,1999,1998.0,2,880,0,8,1724,527,2,188000
537,12735,4,1972,1972,1980.0,1,864,0,5,864,576,2,111250
538,11553,5,1968,1968,1968.0,1,1051,1,7,1159,336,1,158000
539,11423,8,2001,2002,2001.0,2,1581,1,6,1601,670,2,272000
540,14601,9,2006,2006,2006.0,2,1838,1,8,1838,765,3,315000
541,11000,8,2000,2000,2000.0,2,969,1,8,2285,648,3,248000
542,10140,7,1998,1999,1998.0,2,1650,1,7,1680,583,2,213250
543,4058,7,1998,1998,1998.0,1,723,0,4,767,367,1,133000
544,17104,7,2006,2006,2006.0,2,654,1,7,1496,426,2,179665
545,13837,7,1988,1988,1988.0,2,1204,0,9,2183,786,3,229000
546,8737,6,1923,1950,1950.0,1,1065,1,6,1635,440,2,210000
547,7244,5,1970,1970,1987.0,1,768,0,5,768,624,2,129500
548,8235,5,1955,1995,1963.0,1,825,0,4,825,720,2,125000
549,9375,7,2003,2004,2003.0,2,912,1,8,2094,615,2,263000
550,4043,6,1977,1977,1977.0,2,1069,0,4,1069,440,2,140000
551,6000,5,1957,1957,1957.0,1,928,0,5,928,288,1,112500
552,11146,8,2006,2006,2006.0,2,1709,1,7,1717,908,3,255500
554,10625,7,2003,2004,2003.0,2,998,1,8,2046,871,3,284000
555,6380,5,1922,1950,1922.0,1,993,1,5,1048,280,1,113000
556,14850,5,1957,1957,1957.0,1,1092,1,6,1092,299,1,141000
557,11040,4,1920,1950,1994.0,1,637,0,7,1336,570,1,108000
558,21872,7,1996,1997,1996.0,2,729,1,6,1446,406,2,175000
559,3196,7,2003,2004,2003.0,2,1374,1,7,1557,420,2,234000
560,11341,5,1957,1996,1957.0,1,1392,1,5,1392,528,2,121500
561,10010,5,1974,1975,1975.0,1,1389,1,6,1389,418,2,170000
562,13907,5,1940,1969,1978.5061638868744,1,996,1,6,996,0,0,108000
563,21780,6,1918,1950,1955.0,2,1163,1,8,1674,396,2,185000
564,13346,7,1992,2000,1992.0,2,1095,1,9,2295,590,2,268000
565,6858,6,1915,1950,1920.0,1,806,0,6,1647,216,1,128000
566,11198,9,2005,2007,2005.0,2,1122,1,11,2504,656,3,325000
567,10171,7,2004,2004,2004.0,2,1517,0,7,1535,532,2,214000
568,12327,8,1983,2009,1983.0,1,1496,1,5,2132,612,2,316600
569,7032,5,1979,1979,1979.0,1,943,2,4,943,600,2,135960
570,13101,5,1965,1965,1987.0,2,1728,0,10,1728,576,2,142600
571,7332,6,1959,1959,1959.0,1,864,0,4,864,288,1,120000
572,13159,7,2009,2009,2009.0,2,846,0,6,1692,650,2,224500
573,9967,7,2000,2000,2000.0,2,384,1,8,1430,400,2,170000
574,10500,5,1971,2005,1971.0,1,372,0,5,1109,288,1,139000
575,8480,5,1947,1950,1947.0,1,832,0,6,1216,336,1,118500
576,6292,7,1928,1950,1928.0,2,861,1,6,1477,216,1,145000
577,11777,5,1966,1966,1966.0,1,1164,2,6,1320,564,2,164500
578,3604,7,2007,2007,2007.0,2,689,0,5,1392,540,2,146000
579,12150,5,1954,1954,1954.0,2,1050,0,7,1795,352,1,131500
580,14585,6,1960,1987,1960.0,1,1144,2,7,1429,572,2,181900
581,12704,8,2008,2009,2009.0,2,2042,1,8,2042,1390,3,253293
582,11841,6,1990,1990,1978.5061638868744,1,816,0,5,816,0,0,118500
584,6120,4,1935,1995,1935.0,1,884,0,6,1573,240,1,133000
585,11443,8,2005,2006,2005.0,2,1868,2,7,2028,880,3,369900
586,10267,6,1918,2000,1961.0,1,816,0,5,838,275,1,130000
587,8740,5,1982,1982,1996.0,1,840,0,4,860,528,2,137000
588,25095,5,1968,2003,1968.0,1,1437,2,5,1473,452,1,143000
589,9100,5,1930,1960,1988.0,1,742,0,4,935,308,1,79500
590,8320,7,2004,2004,2004.0,2,770,0,6,1582,520,2,185900
591,13478,10,2008,2008,2008.0,2,1722,1,10,2296,842,3,451950
592,6600,5,1982,2003,1985.0,1,816,0,4,816,816,2,138000
593,4435,6,2003,2003,2003.0,1,848,0,4,848,420,2,140000
594,7990,5,1975,1975,1981.0,1,924,0,5,924,280,1,110000
595,11302,8,2005,2006,2005.0,2,1814,1,7,1826,758,3,319000
596,3600,6,1910,1993,1930.0,1,684,0,7,1368,216,1,114504
597,3922,7,2006,2007,2006.0,0,1258,1,7,1402,648,3,194201
598,12984,5,1977,1977,1977.0,2,1430,1,7,1647,621,2,217500
599,1950,6,1980,1980,1980.0,2,716,1,6,1556,452,2,151000
600,10927,8,2005,2005,2003.0,2,1058,1,8,1904,736,2,275000
601,9000,6,1937,1950,1979.0,1,780,1,6,1375,544,1,141000
602,10041,8,1992,1992,1992.0,2,908,1,8,1915,506,2,220000
603,3182,7,2004,2005,2004.0,2,600,0,4,1200,480,2,151000
604,12803,7,2002,2002,2002.0,2,1494,1,6,1494,530,2,221000
605,13600,7,1965,1990,1965.0,2,768,3,7,1986,486,2,205000
606,12464,5,1996,1996,2000.0,1,1040,0,6,1040,576,2,152000
607,7800,5,1948,2002,1948.0,3,896,0,8,2008,230,1,225000
609,7943,4,1961,1961,1961.0,1,1029,0,5,1029,261,1,118500
610,11050,9,2000,2000,2000.0,2,1440,2,8,2153,736,3,313000
611,10395,6,1978,1978,1978.0,2,1032,1,6,1032,564,2,148000
612,11885,8,2001,2001,2001.0,2,1299,1,7,1872,531,2,261500
613,8402,5,2007,2007,1978.5061638868744,1,1120,0,6,1120,0,0,147000
614,1491,4,1972,1972,1978.5061638868744,1,630,0,3,630,0,0,75500
615,8800,6,1963,1963,1963.0,1,936,0,6,1054,480,2,137500
616,7861,6,2002,2003,2002.0,2,783,1,7,1509,393,2,183200
617,7227,6,1954,1954,1962.0,1,832,0,4,832,528,2,105500
618,11694,9,2007,2007,2007.0,2,1822,1,9,1828,774,3,314813
619,12244,8,2003,2003,2003.0,2,1482,2,10,2262,749,3,305000
620,8248,3,1914,1950,1978.5061638868744,1,864,0,5,864,0,0,67000
621,10800,6,1974,1997,1974.0,2,1522,1,9,2614,624,2,240000
622,7064,5,1977,1977,1986.0,1,980,0,6,980,484,2,135000
623,2117,6,2000,2000,2000.0,2,756,1,4,1512,440,2,168500
624,10400,6,1972,1972,1972.0,1,732,1,8,1790,484,2,165150
625,10000,6,1962,1962,1962.0,1,1116,0,5,1116,440,2,160000
626,12342,5,1960,1978,1960.0,1,978,1,6,1422,286,1,139900
627,9600,6,1955,1972,1955.0,1,1156,2,7,1520,364,1,153000
628,11606,5,1969,1969,1969.0,1,1040,2,9,2080,504,2,135000
629,9020,6,1964,1964,1964.0,1,1248,0,6,1350,520,2,168500
631,4590,8,2006,2006,2006.0,2,1554,1,6,1554,627,2,209500
632,11900,7,1977,1977,1977.0,2,1386,1,6,1411,544,2,82500
633,9250,5,1954,2005,1954.0,1,1056,0,6,1056,260,1,139400
634,6979,6,1980,1980,1980.0,0,1056,0,4,1056,576,2,144000
637,6000,5,1954,1954,1954.0,2,811,0,7,1387,256,1,93000
638,8777,5,1910,1950,1978.5061638868744,1,796,0,4,796,0,0,85000
639,3982,8,2006,2006,2006.0,2,1520,1,7,1567,648,3,264561
640,12677,8,2003,2004,2003.0,1,1518,1,6,1518,588,2,274000
641,7050,7,2001,2001,2001.0,2,1057,1,7,1929,650,2,226000
643,10793,5,1969,1969,1969.0,2,780,0,7,1620,462,2,152000
644,9187,9,2009,2009,2009.0,2,1766,1,7,1766,478,3,370878
645,10530,6,1971,1971,1979.0,1,981,0,5,981,576,2,143250
647,10452,6,1953,1953,1953.0,1,1094,2,5,1094,495,2,155000
648,7700,6,1966,1966,1966.0,1,756,1,7,1839,442,2,155000
649,1936,4,1970,1970,1978.5061638868744,1,630,0,3,630,0,0,84500
650,8125,7,2007,2007,2007.0,2,813,0,7,1665,562,2,205950
651,9084,4,1940,1950,1940.0,1,755,1,7,1510,296,1,108000
652,8750,7,1996,1996,1996.0,2,880,1,7,1716,512,2,191000
654,10437,8,1995,1995,1995.0,2,2109,1,7,2113,839,3,350000
655,1680,6,1971,1971,1971.0,1,525,0,6,1092,264,1,88000
656,10007,5,1959,2006,1959.0,1,1053,0,5,1053,312,1,145500
657,7200,7,1931,2000,1931.0,1,776,1,6,1502,270,1,149000
658,17503,6,1948,1950,1948.0,1,912,1,6,1458,330,1,97500
659,9937,5,1964,1999,1968.0,1,1486,0,7,1486,480,2,167000
660,12384,7,1976,1976,1976.0,2,793,1,7,1935,550,2,197900
661,46589,8,1994,2005,1994.0,2,1629,1,8,2448,711,3,402000
662,13560,6,1968,1968,1968.0,1,1392,2,5,1392,576,2,110000
663,10012,4,1972,1972,1974.0,2,1138,0,6,1181,588,2,137500
664,20896,8,2005,2006,2005.0,1,2077,1,8,2097,1134,3,423000
665,11194,8,2000,2000,2000.0,2,1406,1,7,1936,504,2,230500
666,18450,6,1965,1979,1965.0,2,1021,1,7,2380,596,2,129000
667,8125,6,1994,1998,1994.0,2,1408,1,7,1679,575,2,193500
668,14175,5,1956,1987,1999.0,1,1188,1,6,1437,576,2,168000
669,11600,4,1922,1950,1922.0,1,700,1,5,1180,252,1,137500
670,8633,6,2005,2005,2005.0,2,738,0,7,1476,540,2,173500
671,6629,6,1925,1950,1930.0,2,672,0,6,1369,300,1,103600
672,11250,6,1977,1977,1977.0,1,1208,1,6,1208,546,2,165000
673,14442,6,1957,2004,1957.0,2,1477,2,7,1839,416,2,257500
674,9200,6,1965,1965,1965.0,1,1136,1,5,1136,384,1,140000
675,2289,6,1978,1978,1978.0,2,855,1,7,1441,440,2,148500
677,9022,5,1924,2006,1924.0,1,768,0,5,792,240,1,109500
678,11844,8,2008,2008,2008.0,2,2046,1,7,2046,834,3,372500
679,9945,5,1961,1961,1963.0,1,988,0,5,988,572,2,128500
680,8012,6,1980,1980,1980.0,2,923,1,5,923,264,1,143000
681,4500,5,1932,2000,1968.0,1,793,0,6,1520,281,1,159434
682,2887,6,1996,1997,1996.0,1,1291,1,6,1291,431,2,173000
683,11248,9,2002,2002,2002.0,2,1626,1,7,1668,702,3,285000
684,16770,7,1998,1998,1998.0,2,1195,0,7,1839,486,2,221000
685,5062,7,1984,1984,1984.0,2,1190,1,6,2090,577,2,207500
686,10207,7,2007,2007,2007.0,3,874,0,7,1761,578,2,227875
687,5105,7,2004,2004,2004.0,2,551,0,4,1102,480,2,148800
688,8089,8,2007,2007,2007.0,2,1419,1,7,1419,567,2,392000
689,7577,6,2005,2006,2005.0,2,1362,1,6,1362,460,2,194700
690,4426,6,2004,2004,2004.0,1,848,1,3,848,420,2,141000
692,26178,7,1989,1990,1989.0,2,1210,2,9,2519,628,2,335000
693,5400,5,1921,1968,1968.0,1,1073,0,4,1073,326,1,108480
694,6120,5,1936,1950,1995.0,1,927,0,5,1539,576,2,141500
695,13811,6,1987,1987,1987.0,2,1112,1,5,1137,551,2,176000
697,6420,5,1952,1952,1952.0,1,980,0,6,1148,308,1,123500
698,8450,5,1965,2009,1973.0,1,894,1,5,894,336,1,138500
699,4282,7,2004,2004,2004.0,2,1391,0,5,1391,530,2,196000
700,14331,8,2002,2002,2002.0,2,1800,1,7,1800,765,3,312500
701,9600,7,1969,1969,1969.0,1,1164,0,6,1164,528,2,140000
702,12438,8,2006,2006,2006.0,2,1234,1,10,2576,666,3,361919
704,8400,7,2004,2005,2004.0,2,1473,0,7,1484,606,2,213000
706,115149,7,1971,2002,1971.0,2,1643,2,5,1824,739,2,302000
707,6240,8,2006,2006,2006.0,2,1324,1,6,1324,550,2,254000
708,9018,7,2007,2007,2007.0,2,728,1,8,1456,400,2,179540
709,7162,5,1966,1966,1966.0,1,876,0,6,904,408,1,109900
712,4671,8,1988,1989,1988.0,2,1228,1,5,1228,472,2,189000
713,9873,4,1970,1970,1970.0,1,960,0,6,960,576,2,129000
714,13517,6,1976,2005,1976.0,2,725,0,6,1479,475,2,130500
715,10140,6,1974,1974,1974.0,2,1064,1,7,1350,478,2,165000
717,10000,5,1973,2000,1973.0,1,1176,1,5,1178,439,2,157000
718,10542,7,1993,1994,1993.0,2,1311,1,9,2418,983,3,341000
719,9920,5,1969,1969,1969.0,1,971,1,5,971,300,1,128500
720,6563,8,1985,1985,1985.0,2,1742,1,5,1742,564,2,275000
721,4426,6,2004,2004,2004.0,1,848,0,3,848,420,2,143000
722,8120,4,1970,1970,1994.0,1,864,0,5,864,463,2,124500
723,8172,4,1954,1972,1958.0,2,941,0,7,1470,548,1,135000
724,13286,9,2007,2008,2007.0,2,1698,1,8,1698,768,3,320000
725,6960,4,1970,1970,1989.0,1,864,0,5,864,660,2,120500
726,21695,6,1988,2007,1988.0,2,880,1,5,1680,540,2,222000
727,7314,7,2007,2007,2007.0,2,1232,0,6,1232,632,2,194500
728,11475,5,1958,1958,1968.0,2,1584,0,9,1776,888,3,110000
